transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale
180,2022-11-05,10:47:00,117,Male,41,Clothing,3,300,129,900
240,2022-11-05,11:49:00,95,Female,23,Beauty,1,300,123,300
1256,2022-11-05,09:58:00,29,Male,23,Clothing,2,500,190,1000
1587,2022-11-05,20:06:00,140,Female,40,Beauty,4,300,105,1200
1819,2022-11-05,20:44:00,83,Female,35,Beauty,2,50,14,100
943,2022-11-05,19:29:00,90,Female,57,Clothing,4,300,318,1200
1896,2022-11-05,20:19:00,87,Female,30,Electronics,2,25,31,50
1137,2022-11-05,22:34:00,104,Male,46,Beauty,2,500,145,1000
856,2022-11-05,17:43:00,102,Male,54,Electronics,4,30,9,120
214,2022-11-05,16:31:00,53,Male,20,Beauty,2,30,8,60
1265,2022-11-05,14:35:00,86,Male,55,Clothing,3,300,111,900
